合作者姓名,论文标题,年份,角色,关键词,是否与目标导师合著,来源及核验依据
Xueliang Zhao,Towards Efficient Dialogue Pre-training with Transferable and Interpretable Latent Structure,2022,一作（按作者顺序）,分析提取：对话系统；文本生成；预训练；模型评价；数据,否,"https://aclanthology.org/people/xueliang-zhao/unverified/；论文链接https://aclanthology.org/2022.emnlp-main.683/；访问2026-09-17；可见作者原文：“Xueliang Zhao, Lemao Liu, Tingchen Fu, Shuming Shi, Dongyan Zhao, Rui Yan”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Xueliang Zhao,There Is No Standard Answer: Knowledge-Grounded Dialogue Generation with Adversarial Activated Multi-Reference Learning,2022,一作（按作者顺序）,分析提取：对话系统；文本生成；机器学习；模型评价；数据,否,"https://aclanthology.org/people/xueliang-zhao/unverified/；论文链接https://aclanthology.org/2022.emnlp-main.123/；访问2026-09-17；可见作者原文：“Xueliang Zhao, Tingchen Fu, Chongyang Tao, Rui Yan”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Xueliang Zhao,Knowledge-Grounded Dialogue Generation with Pre-trained Language Models,2020,一作（按作者顺序）,分析提取：语言模型；对话系统；文本生成；预训练；模型评价,否,"https://aclanthology.org/people/xueliang-zhao/unverified/；论文链接https://aclanthology.org/2020.emnlp-main.272/；访问2026-09-17；可见作者原文：“Xueliang Zhao, Wei Wu, Can Xu, Chongyang Tao, Dongyan Zhao, Rui Yan”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Chenxin An,CoNT: Contrastive Neural Text Generation,2022,一作（按作者顺序）,分析提取：文本生成；对比学习；暴露偏差；序列级目标；解码,是,"论文信息汇总.csv 序100：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_CoNT_ Contrastive Neural Text Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2205.14690；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
原文摘要依据：“Recently, contrastive learning attracts increasing interests in neural text generation as a new solution to alleviate the exposure bias problem. It introduces a sequence-level training signal which is”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Chenxin An,Optimizing Non-Autoregressive Transformers with Contrastive Learning,2023,一作（按作者顺序）,分析提取：非自回归；对比学习；模型分布；并行生成；多模态分布,是,"论文信息汇总.csv 序136：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Optimizing Non-Autoregressive Transformers with Contrastive Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2305.13667；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Non-autoregressive Transformers (NATs) reduce the inference latency of Autoregressive Transformers (ATs) by predicting words all at once rather than in sequential order. They have achieved remarkable ”。
；一作（按作者顺序）；预印本，等级不适用。"
Chenxin An,L-Eval: Instituting Standardized Evaluation for Long Context Language Models,2024,一作（按作者顺序）,分析提取：长上下文；L-Eval；人工标注；评测指标；模型裁判,是,"论文信息汇总.csv 序61：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_L-Eval_ Instituting Standardized Evaluation for Long Context Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.acl-long.776/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 14388–14411”。
原文摘要依据：“Recently, there has been growing interest in long-context scaling of large language models (LLMs). To facilitate research in this field, we propose L-Eval to institute a more standardized evaluation f”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Chenxin An,Training- Free Long-Context Scaling of Large Language Models,2024,一作（按作者顺序）,分析提取：长上下文；分块注意力；位置编码；免训练；长度外推,是,"论文信息汇总.csv 序70：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Training- Free Long-Context Scaling of Large Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2402.17463；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 41 st International Conference on Machine            tion indices or increasing the base frequency in RoPE (Su”。
原文摘要依据：“The ability of Large Language Models (LLMs) to process and generate coherent text is markedly weakened when the number of input tokens exceeds their pretraining length. Given the expensive overhead of”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Chenxin An,Long Chain-of-Thought Fine-tuning via Understanding-to-Reasoning Transition,2025,一作（按作者顺序）,分析提取：思维链；课程学习；长上下文；监督微调；推理生成,是,"论文信息汇总.csv 序26：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2025.emnlp-main.1751/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“Reasoning models have demonstrated remarkable performance on complex tasks by generating long reasoning traces prior to producing final answers. However, previous research on long-context scaling in l”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Chenxin An,VL-RewardBench: A Challenging Benchmark for Vision-Language Generative Reward Models,2025,其他作者（共同一作/通讯待核验）,分析提取：视觉奖励模型；偏好判断；人工核验；幻觉检测；Best-of-N,是,"论文信息汇总.csv 序38：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_VL-RewardBench_ A Challenging Benchmark for Vision-Language Generative Reward Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2411.17451；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“Vision-language generative reward models (VL-GenRMs) play a crucial role in aligning and evaluating multimodal AI systems, yet their own evaluation remains under-explored. Current assessment methods p”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Chenxin An,Temporal Reasoning Transfer from Text to Video,2025,其他作者（共同一作/通讯待核验）,分析提取：时序推理；跨模态迁移；诊断探针；文本合成；视频理解,是,"论文信息汇总.csv 序40：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2410.06166；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“Video Large Language Models (Video LLMs) have shown promising capabilities in video comprehension, yet they struggle with tracking temporal changes and reasoning about temporal relationships. While pr”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Chenxin An,Why Does the Effective Context Length of LLMs Fall Short?,2025,一作（按作者顺序）,分析提取：有效上下文；位置编码；STRING；相对位置；长文本,是,"论文信息汇总.csv 序46：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Why Does the Effective Context Length of LLMs Fall Short_.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.18745；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“Advancements in distributed training and efficient attention mechanisms have significantly expanded the context window sizes of large language models (LLMs). However, recent work reveals that the effe”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Chenxin An,Scaling Diffusion Language Models via Adaptation from Autoregressive Models,2025,其他作者（共同一作/通讯待核验）,分析提取：扩散语言模型；自回归适配；持续预训练；规模扩展；文本生成,是,"论文信息汇总.csv 序47：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Scaling Diffusion Language Models via Adaptation from Autoregressive Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.17891；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2025”。
原文摘要依据：“Diffusion Language Models (DLMs) have emerged as a promising new paradigm for text generative modeling, potentially addressing limitations of autoregressive (AR) models. However, current DLMs have bee”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Chenxin An,Claw-Eval: Towards Trustworthy Evaluation of Autonomous Agents,2026,其他作者（共同一作/通讯待核验）,分析提取：智能体评测；轨迹证据；安全；鲁棒性；重复试验,是,"论文信息汇总.csv 序168：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_Claw-Eval_ Towards Trustworthy Evaluation of Autonomous Agents.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2604.06132；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Large language models are increasingly deployed as autonomous agents for multi-step workflows in real-world software environments. However, existing agent benchmarks are limited by trajectory-opaque g”。
；其他作者（共同一作/通讯待核验）；预印本，等级不适用。"
Chenxin An,SWE-Swiss: A Multi-Task Fine-Tuning and RL Recipe for High-Performance Issue Resolution,2026,其他作者（非合著代表）,分析提取：语言模型；文本生成；强化学习；机器学习；模型评价,否,"https://aclanthology.org/people/chenxin-an/unverified/；论文链接https://aclanthology.org/2026.findings-acl.790/；访问2026-09-17；可见作者原文：“Zhenyu He, Qingping Yang, Wei Shen, Xiaojian Zhong, Kechi Zhang, Chenxin An, Wenlei Shi, Tianle Cai, Di He, Jiaze Chen, Jingjing Xu”；其他作者（非合著代表）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Chenxin An,CoLo: A Contrastive Learning Based Re-ranking Framework for One-Stage Summarization,2022,一作（按作者顺序）,分析提取：摘要生成；对比学习；机器学习；推断；模型评价,否,"https://aclanthology.org/people/chenxin-an/unverified/；论文链接https://aclanthology.org/2022.coling-1.508/；访问2026-09-17；可见作者原文：“Chenxin An, Ming Zhong, Zhiyong Wu, Qin Zhu, Xuanjing Huang, Xipeng Qiu”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Zhiyong Wu,Cascaded Head-colliding Attention,2021,其他作者（共同一作/通讯待核验）,分析提取：多头注意力；潜变量；变分分布；头间交互；参数效率,是,"论文信息汇总.csv 序111：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2021_Cascaded Head-colliding Attention.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2021.acl-long.45/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
PDF发表标记：“Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics”。
原文摘要依据：“Transformers have advanced the field of natural language processing (NLP) on a variety of important tasks. At the cornerstone of the Transformer architecture is the multi-head attention (MHA) mechanis”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Zhiyong Wu,Good for Misconceived Reasons: An Empirical Revisiting on the Need for Visual Context in Multimodal Machine Translation,2021,一作（按作者顺序）,分析提取：多模态翻译；视觉上下文；可解释性；正则化；对照实验,是,"论文信息汇总.csv 序112：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2021_Good for Misconceived Reasons_ An Empirical Revisiting on the Need for Visual Context in Multimodal Machine Translation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2021.acl-long.480/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
PDF发表标记：“Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics”。
原文摘要依据：“A neural multimodal machine translation (MMT) system is one that aims to perform better translation by extending conventional text-only translation models with multimodal information. Many recent stud”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Zhiyong Wu,ProGen: Progressive Zero-shot Dataset Generation via In-context Feedback,2022,其他作者（共同一作/通讯待核验）,分析提取：数据合成；零样本；任务反馈；上下文示例；渐进生成,是,"论文信息汇总.csv 序95：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_ProGen_ Progressive Zero-shot Dataset Generation via In-context Feedback.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2022.findings-emnlp.269/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
原文摘要依据：“Recently, dataset-generation-based zero-shot learning has shown promising results by training a task-specific model with a dataset synthesized from large pre-trained language models (PLMs). The final ”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Zhiyong Wu,ZeroGen: Efficient Zero-shot Learning via Dataset Generation,2022,其他作者（共同一作/通讯待核验）,分析提取：零样本；数据生成；知识蒸馏；小模型；高效推理,是,"论文信息汇总.csv 序96：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_ZeroGen_ Efficient Zero-shot Learning via Dataset Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2022.emnlp-main.801/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
PDF发表标记：“Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing, pages 11653–11669”。
原文摘要依据：“There is a growing interest in dataset generation recently due to the superior generative capacity of large pre-trained language models (PLMs). In this paper, we study a flexible and efficient zero-sh”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Zhiyong Wu,Lexical Knowledge Internalization for Neural Dialog Generation,2022,一作（按作者顺序）,分析提取：对话生成；词汇知识；知识内化；对比学习；弱监督,是,"论文信息汇总.csv 序107：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_Lexical Knowledge Internalization for Neural Dialog Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2022.acl-long.547/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
PDF发表标记：“Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics”。
原文摘要依据：“We propose knowledge internalization (KI), which aims to complement the lexical knowledge into neural dialog models. Instead of further conditioning the knowledge-grounded dialog (KGD) models on exter”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Zhiyong Wu,DiffuSeq-v2: Bridging Discrete and Continuous Text Spaces for Accelerated Seq2Seq Diffusion Models,2023,其他作者（共同一作/通讯待核验）,分析提取：序列生成；扩散模型；软吸收状态；ODE；采样加速,是,"论文信息汇总.csv 序77：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_DiffuSeq-v2_ Bridging Discrete and Continuous Text Spaces for Accelerated Seq2Seq Diffusion Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2023.findings-emnlp.660/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Diffusion models have gained prominence in generating high-quality sequences of text. Nevertheless, current approaches predominantly represent discrete text within a continuous diffusion space, which ”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Zhiyong Wu,Self-Adaptive In-Context Learning: An Information Compression Perspective for In-Context Example Selection and Ordering,2023,共同一作,分析提取：上下文学习；示例选择；示例排序；自适应；少样本,是,"论文信息汇总.csv 序81：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Self-Adaptive In-Context Learning_ An Information Compression Perspective for In-Context Example Selection and Ordering.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2023.acl-long.79/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
PDF发表标记：“Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics”。
原文摘要依据：“Despite the surprising few-shot performance of in-context learning (ICL), it is still a common practice to randomly sample examples to serve as context. This paper advocates a new principle for ICL: s”。
；共同一作；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Zhiyong Wu,Explanation Regeneration via Information Bottleneck,2023,其他作者（共同一作/通讯待核验）,分析提取：解释生成；信息瓶颈；证据选择；充分性；简洁性,是,"论文信息汇总.csv 序82：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2023.findings-acl.765/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Explaining the black-box predictions of NLP models naturally and accurately is an important open problem in natural language generation. These free-text explanations are expected to contain sufficient”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Zhiyong Wu,Compositional Exemplars for In-context Learning,2023,其他作者（共同一作/通讯待核验）,分析提取：上下文学习；示例子集；行列式点过程；对比学习；组合泛化,是,"论文信息汇总.csv 序87：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Compositional Exemplars for In-context Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2302.05698；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
PDF发表标记：“Proceedings of the 40 th International Conference on Machine       7 distinct tasks, including sentiment analysis, paraphrase”。
原文摘要依据：“Large pretrained language models (LMs) have shown impressive In-Context Learning (ICL) ability, where the model learns to do an unseen task via a prompt consisting of input-output examples as the demo”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Zhiyong Wu,Self-Guided Noise-Free Data Generation for Efficient Zero-Shot Learning,2023,其他作者（共同一作/通讯待核验）,分析提取：零样本学习；合成数据；噪声；重加权；文本分类,是,"论文信息汇总.csv 序91：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2205.12679；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
原文摘要依据：“There is a rising interest in further exploring the zero-shot learning potential of large pre-trained language models (PLMs). A new paradigm called data-generation-based zero-shot learning has achieve”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Zhiyong Wu,DiffuSeq: Sequence to Sequence Text Generation with Diffusion Models,2023,其他作者（共同一作/通讯待核验）,分析提取：文本扩散；条件生成；序列到序列；多样性；非自回归,是,"论文信息汇总.csv 序93：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_DiffuSeq_ Sequence to Sequence Text Generation with Diffusion Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2210.08933；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2023”。
原文摘要依据：“Recently, diffusion models have emerged as a new paradigm for generative models. Despite the success in domains using continuous signals such as vision and audio, adapting diffusion models to natural ”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Zhiyong Wu,Unsupervised Explanation Generation via Correct Instantiations,2023,其他作者（共同一作/通讯待核验）,分析提取：无监督；解释生成；正确实例；冲突定位；常识,是,"论文信息汇总.csv 序94：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Unsupervised Explanation Generation via Correct Instantiations.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2211.11160；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
原文摘要依据：“While large pre-trained language models (PLM) have shown their great skills at solving discriminative tasks, a significant gap remains when compared with humans for explanation-related tasks. Among th”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Zhiyong Wu,In-Context Learning with Many Demonstration Examples,2023,其他作者（共同一作/通讯待核验）,分析提取：上下文学习；多样例；长上下文；指令微调；长度外推,是,"论文信息汇总.csv 序134：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_In-Context Learning with Many Demonstration Examples.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2302.04931；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Large pre-training language models (PLMs) have shown promising in-context learning abilities. However, due to the backbone transformer architecture, existing PLMs are bottlenecked by the memory and co”。
；其他作者（共同一作/通讯待核验）；预印本，等级不适用。"
Zhiyong Wu,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,2024,其他作者（共同一作/通讯待核验）,分析提取：多模型协作；辩论；审查；检索；复杂推理,是,"论文信息汇总.csv 序57：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2310.00280；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“Large Language Models (LLMs) are evolving at an unprecedented pace and have exhibited considerable capability in the realm of natural language processing (NLP) with world knowledge. Benefiting from ul”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Zhiyong Wu,OS-Copilot: Towards Generalist Computer Agents with Self-Improvement,2024,一作（按作者顺序）,分析提取：计算机智能体；工具使用；技能积累；自改进；跨应用,是,"论文信息汇总.csv 序143：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2402.07456；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Autonomous interaction with the computer has been a longstanding challenge with great potential, and the recent proliferation of large language models (LLMs) has markedly accelerated progress in build”。
；一作（按作者顺序）；预印本，等级不适用。"
Zhiyong Wu,"A Survey of Neural Code Intelligence: Paradigms, Advances and Beyond",2024,其他作者（共同一作/通讯待核验）,分析提取：代码智能；综述；程序理解；代码生成；模型评测,是,"论文信息汇总.csv 序144：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2403.14734；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Neural Code Intelligence -- leveraging deep learning to understand, generate, and optimize code -- holds immense potential for transformative impacts on the whole society. Bridging the gap between Nat”。
；其他作者（共同一作/通讯待核验）；预印本，等级不适用。"
Zhiyong Wu,Implicit Search via Discrete Diffusion: A Study on Chess,2025,其他作者（共同一作/通讯待核验）,分析提取：离散扩散；隐式搜索；国际象棋；世界状态；长期规划,是,"论文信息汇总.csv 序44：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2502.19805；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“In the post-AlphaGo era, there has been a renewed interest in search techniques such as Monte Carlo Tree Search (MCTS), particularly in their application to Large Language Models (LLMs). This renewed ”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Zhiyong Wu,OS-Sentinel: Towards Safety-Enhanced Mobile GUI Agents via Hybrid Validation in Realistic Workflows,2026,其他作者（共同一作/通讯待核验）,分析提取：移动智能体；安全评测；形式验证；情境判断；操作轨迹,是,"论文信息汇总.csv 序158：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2026.acl-long.431/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
原文摘要依据：“Computer-using agents powered by Vision-Language Models (VLMs) have demonstrated human-like capabilities in operating digital environments like mobile platforms. While these agents hold great promise ”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Zhiyong Wu,OSReward: Instituting Standardized Evaluation for Cross-Platform Computer-Use Reward Models,2026,其他作者（共同一作/通讯待核验）,分析提取：计算机智能体；奖励模型；轨迹评测；判断偏差；跨平台,是,"论文信息汇总.csv 序176：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2607.28609；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Computer-using agents (CUAs) are advancing rapidly across the digital world. A CUA trajectory records the agent's actions, states, and reasoning. Verifying whether it fulfilled the task instruction is”。
；其他作者（共同一作/通讯待核验）；预印本，等级不适用。"
Zhiyong Wu,UniSRM: A Unified Speech Reward Model for Reasoning-Based Fine-grained Assessment,2026,其他作者（非合著代表）,分析提取：推理；对话系统；文本生成；模型评价；数据,否,"https://aclanthology.org/people/zhiyong-wu/；论文链接https://aclanthology.org/2026.acl-long.2150/；访问2026-09-17；可见作者原文：“Yuanyuan Wang, Dongchao Yang, Yayue Deng, Zhiyong Wu, Steven Y. Guo, Helen M. Meng, Xixin Wu”；其他作者（非合著代表）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Zhiyong Wu,Perturbed Masking: Parameter-free Probing for Analyzing and Interpreting BERT,2020,一作（按作者顺序）,分析提取：语言模型；表示学习；情感分析；分类；机器学习,否,"https://aclanthology.org/people/zhiyong-wu/；论文链接https://aclanthology.org/2020.acl-main.383/；访问2026-09-17；可见作者原文：“Zhiyong Wu, Yun Chen, Ben Kao, Qun Liu”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
