序,论文标题,年份,作者,发表载体,条目类型,论文链接,被引次数,引用统计日期,引用来源网址,抓取日期,下载状态,备注
127,Improving Chinese Dependency Parsing with Self-Disambiguating Patterns,2011,Likun Qiu；Lei Wu；Kai Zhao；Changjian Hu；Lingpeng Kong,IALP 2011,会议,https://ikekonglp.github.io/paper/ialp11b.pdf,未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；访问2026-09-17；非Scholar全量成果。
作者顺序采用PDF首页；CV中Kai Zhao和Changjian Hu顺序相反。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序127：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2011_Improving Chinese Dependency Parsing with Self-Disambiguating Patterns.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://ikekonglp.github.io/paper/ialp11b.pdf；访问2026-09-17。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第12页；版本2026-01-27。
PDF发表标记：“2011 International Conference on Asian Language Processing”。
原文摘要依据：“To solve the data sparseness problem in dependency parsing, most previous studies used features constructed from large-scale auto-parsed data. Unlike previous work, we propose a new approach to improv”。"
128,Neural Representation Learning in Linguistic Structured Prediction,2017,Lingpeng Kong,卡内基梅隆大学博士学位论文,学位论文,https://ikekonglp.github.io/thesis_draft.pdf,未获取,未获取,未获取,2026-09-17,不适用,学位论文不计入175篇论文；仅作博士阶段补查证据。来源CV第12页。
129,Document Context Language Models,2016,Yangfeng Ji；Trevor Cohn；Lingpeng Kong；Chris Dyer；Jacob Eisenstein,". In International Conference on Learning Representations Workshop Track, San Juan, Puerto Rico, May 2016.",Workshop,"https://arxiv.org/pdf/1511.03962.pdf
https://arxiv.org/abs/1511.03962",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序129：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2016_Document Context Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1511.03962；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第13页；版本2026-01-27。
PDF发表标记：“Workshop track - ICLR 2016”。
原文摘要依据：“Text documents are structured on multiple levels of detail: individual words are related by syntax, but larger units of text are related by discourse structure. Existing language models generally fail”。"
130,ACBiMA: Advanced Chinese Bi-Character Word Morphological Analyzer,2015,Ting-Hao Huang；Yun-Nung Chen；Lingpeng Kong,Proceedings of the Eighth SIGHAN Workshop on Chinese Language Processing,Workshop,"https://aclanthology.org/W15-3105/
https://www.aclweb.org/anthology/W15-3105
https://github.com/windx0303/ACBiMA",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序130：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2015_ACBiMA_ Advanced Chinese Bi-Character Word Morphological Analyzer.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/W15-3105/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第13页；版本2026-01-27。
PDF发表标记：“Proceedings of the Eighth SIGHAN Workshop on Chinese Language Processing (SIGHAN-8), pages 26–31,”。
原文摘要依据：“While morphological information has been demonstrated to be useful for various Chinese NLP tasks, there is still a lack of complete theories, category schemes, and toolkits for Chinese morphology. Thi”。"
131,SNCSE: Contrastive Learning for Unsupervised Sentence Embedding with Soft Negative Samples,2022,Hao Wang；Yangguang Li；Zhen Huang；Yong Dou；Lingpeng Kong；Jing Shao,arXiv,预印本,https://arxiv.org/abs/2201.05979,未获取,未获取,未获取,2026-09-17,已下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序131：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_SNCSE_ Contrastive Learning for Unsupervised Sentence Embedding with Soft Negative Samples.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2201.05979；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Unsupervised sentence embedding aims to obtain the most appropriate embedding for a sentence to reflect its semantic. Contrastive learning has been attracting developing attention. For a sentence, cur”。"
132,Language Models Can See: Plugging Visual Controls in Text Generation,2022,Yixuan Su；Tian Lan；Yahui Liu；Fangyu Liu；Dani Yogatama；Yan Wang；Lingpeng Kong；Nigel Collier,arXiv,预印本,https://arxiv.org/abs/2205.02655,未获取,未获取,未获取,2026-09-17,未下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序132：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2205.02655；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Generative language models (LMs) such as GPT-2/3 can be prompted to generate text with remarkable quality. While they are designed for text-prompted generation, it remains an open question how the gen”。"
133,Audio-Visual Segmentation with Semantics,2023,Jinxing Zhou；Xuyang Shen；Jianyuan Wang；Jiayi Zhang；Weixuan Sun；Jing Zhang；Stan Birchfield；Dan Guo；Lingpeng Kong；Meng Wang；Yiran Zhong,arXiv,预印本,https://arxiv.org/abs/2301.13190,未获取,未获取,未获取,2026-09-17,未下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序133：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2301.13190；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“We propose a new problem called audio-visual segmentation (AVS), in which the goal is to output a pixel-level map of the object(s) that produce sound at the time of the image frame. To facilitate this”。"
134,In-Context Learning with Many Demonstration Examples,2023,Mukai Li；Shansan Gong；Jiangtao Feng；Yiheng Xu；Jun Zhang；Zhiyong Wu；Lingpeng Kong,arXiv,预印本,https://arxiv.org/abs/2302.04931,未获取,未获取,未获取,2026-09-17,已下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序134：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_In-Context Learning with Many Demonstration Examples.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2302.04931；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Large pre-training language models (PLMs) have shown promising in-context learning abilities. However, due to the backbone transformer architecture, existing PLMs are bottlenecked by the memory and co”。"
135,TTIDA: Controllable Generative Data Augmentation via Text-to-Text and Text-to-Image Models,2023,Yuwei Yin；Jean Kaddour；Xiang Zhang；Yixin Nie；Zhenguang Liu；Lingpeng Kong；Qi Liu,arXiv,预印本,https://arxiv.org/abs/2304.08821,未获取,未获取,未获取,2026-09-17,未下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序135：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2304.08821；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Data augmentation has been established as an efficacious approach to supplement useful information for low-resource datasets. Traditional augmentation techniques such as noise injection and image tran”。"
136,Optimizing Non-Autoregressive Transformers with Contrastive Learning,2023,Chenxin An；Jiangtao Feng；Fei Huang；Xipeng Qiu；Lingpeng Kong,arXiv,预印本,https://arxiv.org/abs/2305.13667,未获取,未获取,未获取,2026-09-17,已下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序136：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Optimizing Non-Autoregressive Transformers with Contrastive Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2305.13667；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Non-autoregressive Transformers (NATs) reduce the inference latency of Autoregressive Transformers (ATs) by predicting words all at once rather than in sequential order. They have achieved remarkable ”。"
137,M$^3$IT: A Large-Scale Dataset towards Multi-Modal Multilingual Instruction Tuning,2023,Lei Li；Yuwei Yin；Shicheng Li；Liang Chen；Peiyi Wang；Shuhuai Ren；Mukai Li；Yazheng Yang；Jingjing Xu；Xu Sun；Lingpeng Kong；Qi Liu,arXiv,预印本,https://arxiv.org/abs/2306.04387,未获取,未获取,未获取,2026-09-17,已下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序137：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_M$^3$IT_ A Large-Scale Dataset towards Multi-Modal Multilingual Instruction Tuning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2306.04387；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Instruction tuning has significantly advanced large language models (LLMs) such as ChatGPT, enabling them to align with human instructions across diverse tasks. However, progress in open vision-langua”。"
138,Language Versatilists vs. Specialists: An Empirical Revisiting on Multilingual Transfer Ability,2023,Jiacheng Ye；Xijia Tao；Lingpeng Kong,arXiv,预印本,https://arxiv.org/abs/2306.06688,未获取,未获取,未获取,2026-09-17,已下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序138：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Language Versatilists vs. Specialists_ An Empirical Revisiting on Multilingual Transfer Ability.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2306.06688；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Multilingual transfer ability, which reflects how well the models fine-tuned on one source language can be applied to other languages, has been well studied in multilingual pre-trained models (e.g., B”。"
139,Extrapolating Large Language Models to Non-English by Aligning Languages,2023,Wenhao Zhu；Yunzhe Lv；Qingxiu Dong；Fei Yuan；Jingjing Xu；Shujian Huang；Lingpeng Kong；Jiajun Chen；Lei Li,arXiv,预印本,https://arxiv.org/abs/2308.04948,未获取,未获取,未获取,2026-09-17,未下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序139：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2308.04948；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Existing large language models show disparate capability across different languages, due to the imbalance in the training data. Their performances on English tasks are often stronger than on tasks of ”。"
140,Exploring the Reliability of Large Language Models as Customized Evaluators for Diverse NLP Tasks,2025,Qintong Li；Leyang Cui；Lingpeng Kong；Wei Bi,Proceedings of the 31st International Conference on Computational Linguistics,会议,"https://aclanthology.org/2025.coling-main.688/
https://arxiv.org/abs/2310.19740",未获取,未获取,未获取,2026-09-17,已下载,"来源：arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序140：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Exploring the Reliability of Large Language Models as Customized Evaluators for Diverse NLP Tasks.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.coling-main.688/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
原文摘要依据：“Previous work adopts large language models (LLMs) as evaluators to evaluate natural language process (NLP) tasks. However, certain shortcomings, e.g., fairness, scope, and accuracy, persist for curren”。"
142,Linear Attention via Orthogonal Memory,2023,Jun Zhang；Shuyang Jiang；Jiangtao Feng；Lin Zheng；Lingpeng Kong,arXiv,预印本,https://arxiv.org/abs/2312.11135,未获取,未获取,未获取,2026-09-17,未下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序142：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2312.11135；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Efficient attentions have greatly improved the computational efficiency of Transformers. However, most existing linear attention mechanisms suffer from an \emph{efficiency degradation} problem, leadin”。"
143,OS-Copilot: Towards Generalist Computer Agents with Self-Improvement,2024,Zhiyong Wu；Chengcheng Han；Zichen Ding；Zhenmin Weng；Zhoumianze Liu；Shunyu Yao；Tao Yu；Lingpeng Kong,arXiv,预印本,https://arxiv.org/abs/2402.07456,未获取,未获取,未获取,2026-09-17,未下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序143：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2402.07456；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Autonomous interaction with the computer has been a longstanding challenge with great potential, and the recent proliferation of large language models (LLMs) has markedly accelerated progress in build”。"
144,"A Survey of Neural Code Intelligence: Paradigms, Advances and Beyond",2024,Qiushi Sun；Zhirui Chen；Fangzhi Xu；Kanzhi Cheng；Chang Ma；Zhangyue Yin；Jianing Wang；Chengcheng Han；Renyu Zhu；Shuai Yuan；Qipeng Guo；Xipeng Qiu；Pengcheng Yin；Xiaoli Li；Fei Yuan；Lingpeng Kong；Xiang Li；Zhiyong Wu,arXiv,预印本,https://arxiv.org/abs/2403.14734,未获取,未获取,未获取,2026-09-17,未下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序144：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2403.14734；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Neural Code Intelligence -- leveraging deep learning to understand, generate, and optimize code -- holds immense potential for transformative impacts on the whole society. Bridging the gap between Nat”。"
145,Data Augmentation of Multi-turn Psychological Dialogue via Knowledge-driven Progressive Thought Prompting,2024,Jiyue Jiang；Liheng Chen；Sheng Wang；Lingpeng Kong；Yu Li；Chuan Wu,arXiv,预印本,https://arxiv.org/abs/2406.16567,未获取,未获取,未获取,2026-09-17,已下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序145：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Data Augmentation of Multi-turn Psychological Dialogue via Knowledge-driven Progressive Thought Prompting.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2406.16567；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Existing dialogue data augmentation (DA) techniques predominantly focus on augmenting utterance-level dialogues, which makes it difficult to take dialogue contextual information into account. The adve”。"
146,SubgoalXL: Subgoal-based Expert Learning for Theorem Proving,2024,Xueliang Zhao；Lin Zheng；Haige Bo；Changran Hu；Urmish Thakker；Lingpeng Kong,arXiv,预印本,https://arxiv.org/abs/2408.11172,未获取,未获取,未获取,2026-09-17,已下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序146：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_SubgoalXL_ Subgoal-based Expert Learning for Theorem Proving.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2408.11172；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Formal theorem proving, a field at the intersection of mathematics and computer science, has seen renewed interest with advancements in large language models (LLMs). This paper introduces SubgoalXL, a”。"
147,UncertaintyRAG: Span-Level Uncertainty Enhanced Long-Context Modeling for Retrieval-Augmented Generation,2024,Zixuan Li；Jing Xiong；Fanghua Ye；Chuanyang Zheng；Xun Wu；Jianqiao Lu；Zhongwei Wan；Xiaodan Liang；Chengming Li；Zhenan Sun；Lingpeng Kong；Ngai Wong,arXiv,预印本,https://arxiv.org/abs/2410.02719,未获取,未获取,未获取,2026-09-17,已下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序147：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_UncertaintyRAG_ Span-Level Uncertainty Enhanced Long-Context Modeling for Retrieval-Augmented Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.02719；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“We present UncertaintyRAG, a novel approach for long-context Retrieval-Augmented Generation (RAG) that utilizes Signal-to-Noise Ratio (SNR)-based span uncertainty to estimate similarity between text c”。"
148,TMGBench: A Systematic Game Benchmark for Evaluating Strategic Reasoning Abilities of LLMs,2024,Haochuan Wang；Xiachong Feng；Lei Li；Yu Guo；Zhanyue Qin；Dianbo Sui；Lingpeng Kong,arXiv,预印本,https://arxiv.org/abs/2410.10479,未获取,未获取,未获取,2026-09-17,未下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序148：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2410.10479；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“The rapid advancement of large language models has accelerated their application in reasoning, with strategic reasoning drawing increasing attention. To evaluate the strategic reasoning capabilities o”。"
149,Understanding the Role of LLMs in Multimodal Evaluation Benchmarks,2024,Botian Jiang；Lei Li；Xiaonan Li；Zhaowei Li；Xiachong Feng；Lingpeng Kong；Qi Liu；Xipeng Qiu,arXiv,预印本,https://arxiv.org/abs/2410.12329,未获取,未获取,未获取,2026-09-17,已下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序149：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Understanding the Role of LLMs in Multimodal Evaluation Benchmarks.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.12329；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“The rapid advancement of Multimodal Large Language Models (MLLMs) has been accompanied by the development of various benchmarks to evaluate their capabilities. However, the true nature of these evalua”。"
151,BioMaze: Benchmarking and Enhancing Large Language Models for Biological Pathway Reasoning,2025,Haiteng Zhao；Chang Ma；Fangzhi Xu；Lingpeng Kong；Zhi-Hong Deng,arXiv,预印本,https://arxiv.org/abs/2502.16660,未获取,未获取,未获取,2026-09-17,已下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序151：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_BioMaze_ Benchmarking and Enhancing Large Language Models for Biological Pathway Reasoning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2502.16660；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“The applications of large language models (LLMs) in various biological domains have been explored recently, but their reasoning ability in complex biological systems, such as pathways, remains underex”。"
153,Scaling Reasoning without Attention,2025,Xueliang Zhao；Wei Wu；Lingpeng Kong,arXiv,预印本,https://arxiv.org/abs/2505.22425,未获取,未获取,未获取,2026-09-17,已下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序153：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Scaling Reasoning without Attention.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2505.22425；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Large language models (LLMs) have made significant advances in complex reasoning tasks, yet they remain bottlenecked by two core challenges: architectural inefficiency due to reliance on Transformers,”。"
154,Dream 7B: Diffusion Large Language Models,2025,Jiacheng Ye；Zhihui Xie；Lin Zheng；Jiahui Gao；Zirui Wu；Xin Jiang；Zhenguo Li；Lingpeng Kong,arXiv,预印本,https://arxiv.org/abs/2508.15487,未获取,未获取,未获取,2026-09-17,已下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序154：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Dream 7B_ Diffusion Large Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2508.15487；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“We introduce Dream 7B, the most powerful open diffusion large language model to date. Unlike autoregressive (AR) models that generate tokens sequentially, Dream 7B employs discrete diffusion modeling ”。"
155,Dream-Coder 7B: An Open Diffusion Language Model for Code,2025,Zhihui Xie；Jiacheng Ye；Lin Zheng；Jiahui Gao；Jingwei Dong；Zirui Wu；Xueliang Zhao；Shansan Gong；Xin Jiang；Zhenguo Li；Lingpeng Kong,arXiv,预印本,https://arxiv.org/abs/2509.01142,未获取,未获取,未获取,2026-09-17,已下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序155：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Dream-Coder 7B_ An Open Diffusion Language Model for Code.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2509.01142；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“We present Dream-Coder 7B, an open-source discrete diffusion language model for code generation that exhibits emergent any-order generation capabilities. Unlike traditional autoregressive (AR) models ”。"
156,LongEmotion: Measuring Emotional Intelligence of Large Language Models in Long-Context Interaction,2025,Weichu Liu；Jing Xiong；Yuxuan Hu；Zixuan Li；Minghuan Tan；Ningning Mao；Hui Shen；Wendong Xu；Chaofan Tao；Min Yang；Chengming Li；Lingpeng Kong；Ngai Wong,arXiv,预印本,https://arxiv.org/abs/2509.07403,未获取,未获取,未获取,2026-09-17,未下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序156：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2509.07403；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Large language models (LLMs) have made significant progress in Emotional Intelligence (EI) and long-context modeling. However, existing benchmarks often overlook the fact that emotional information pr”。"
157,PromptCoT 2.0: Scaling Prompt Synthesis for Large Language Model Reasoning,2025,Xueliang Zhao；Wei Wu；Jian Guan；Zhuocheng Gong；Lingpeng Kong,arXiv,预印本,https://arxiv.org/abs/2509.19894,未获取,未获取,未获取,2026-09-17,已下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序157：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_PromptCoT 2.0_ Scaling Prompt Synthesis for Large Language Model Reasoning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2509.19894；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Large language models (LLMs) are evolving from conversational systems into strong reasoners for tasks such as Olympiad mathematics and competitive programming. While scaling parameters and test-time c”。"
158,OS-Sentinel: Towards Safety-Enhanced Mobile GUI Agents via Hybrid Validation in Realistic Workflows,2026,Qiushi Sun；Mukai Li；Zhoumianze Liu；Zhihui Xie；Fangzhi Xu；Zhangyue Yin；Kanzhi Cheng；Zehao Li；Zichen Ding；Qi Liu；Zhiyong Wu；Zhuosheng Zhang；Ben Kao；Lingpeng Kong,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),会议,"https://aclanthology.org/2026.acl-long.431/
https://arxiv.org/abs/2510.24411",未获取,未获取,未获取,2026-09-17,未下载,"来源：arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序158：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2026.acl-long.431/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
原文摘要依据：“Computer-using agents powered by Vision-Language Models (VLMs) have demonstrated human-like capabilities in operating digital environments like mobile platforms. While these agents hold great promise ”。"
159,Reasoning Path Divergence: A New Metric and Curation Strategy to Unlock LLM Diverse Thinking,2025,Feng Ju；Zeyu Qin；Rui Min；Zhitao He；Lingpeng Kong；Yi R. Fung,arXiv,预印本,https://arxiv.org/abs/2510.26122,未获取,未获取,未获取,2026-09-17,已下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序159：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Reasoning Path Divergence_ A New Metric and Curation Strategy to Unlock LLM Diverse Thinking.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2510.26122；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“While Test-Time Scaling (TTS) has proven effective in improving the reasoning ability of large language models (LLMs), low diversity in model outputs often becomes a bottleneck; this is partly caused ”。"
160,DoPE: Denoising Rotary Position Embedding,2025,Jing Xiong；Liyang Fan；Hui Shen；Zunhai Su；Min Yang；Lingpeng Kong；Ngai Wong,arXiv,预印本,https://arxiv.org/abs/2511.09146,未获取,未获取,未获取,2026-09-17,已下载,"来源：arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序160：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_DoPE_ Denoising Rotary Position Embedding.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2511.09146；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Positional encoding is essential for large language models (LLMs) to represent sequence order, yet recent studies show that Rotary Position Embedding (RoPE) can induce massive activation. We investiga”。"
