序,年份,文章阶段（发表/预印本）,是否为一作/通讯,文章标题,被引次数,引用统计日期,引用来源网址,摘要,关键词,研究方向,研究内容,创新点,合作者姓名及其工作单位
11,2023,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,Vicinity Vision Transformer,未获取,未获取,未获取,"Vision transformers have shown great success on numerous computer vision tasks. However, its central component, softmax attention, prohibits vision transformers from scaling up to high-resolution images, due to both the computational complexity and memory footprint being quadratic. Although linear attention was introduced in natural language processing (NLP) tasks to mitigate a similar issue, directly applying existing linear attention to vision transformers may not lead to satisfactory results. We investigate this problem and find that computer vision tasks focus more on local information compared with NLP tasks. Based on this observation, we present a Vicinity Attention that introduces a locality bias to vision transformers with linear complexity. Specifically, for each image patch, we adjust its attention weight based on its 2D Manhattan distance measured by its neighbouring patches. In this case, the neighbouring patches will receive stronger attention than far-away patches. Moreover, since our Vicinity Attention requires the token length to be much larger than the feature dimension to show its efficiency advantages, we further propose a new Vicinity Vision Transformer (VVT) structure to reduce the feature dimension without degenerating the accuracy. We perform extensive experiments on the CIFAR100, ImageNet1K, and ADE20K datasets to validate the effectiveness of our method. Our method has a slower growth rate of GFlops than previous transformer-based and convolution-based networks when the input resolution increases. In particular, our approach achieves state-of-the-art image classification accuracy with 50% fewer parameters than previous methods.",分析提取：视觉Transformer；线性注意力；局部偏置；高分辨率；图像分类,高效注意力与序列架构,"研究问题：高分辨率视觉Transformer如何降低注意力的二次开销？
采用方法：按二维曼哈顿距离加入局部偏置，并降低特征维度。",Vicinity Attention与VVT结合，在降低参数和计算增长的同时保持视觉性能。,"Weixuan Sun：待核验
Zhen Qin：待核验
Hui Deng：待核验
Jianyuan Wang：待核验
Yi Zhang：待核验
Kaihao Zhang：待核验
Nick Barnes：待核验
Stan Birchfield：待核验
Yiran Zhong：待核验"
12,2021,发表,一作 = 否（按作者顺序）；通讯 = 待核验,Adaptive Semiparametric Language Models,未获取,未获取,未获取,"We present a language model that combines a large parametric neural network (i.e., a transformer) with a non-parametric episodic memory component in an integrated architecture. Our model uses extended short-term context by caching local hidden states—similar to transformer-XL—and global long-term memory by retrieving a set of nearest neighbor tokens at each timestep. We design a gating function to adaptively combine multiple information sources to make a prediction. This mechanism allows the model to use either local context, short-term memory, or long-term memory (or any combination of them) on an ad hoc basis depending on the context. Experiments on word-based and character-based language modeling datasets demonstrate the efficacy of our proposed method compared to strong baselines.",分析提取：语言建模；近邻检索；门控；短期记忆；长期记忆,语言建模与记忆,"研究问题：语言模型如何按上下文选择短期和长期记忆？
采用方法：将Transformer、局部隐藏态缓存和近邻词元检索用门控组合。",让模型自适应利用局部上下文、短期缓存与非参数长期记忆。,"Dani Yogatama：Google DeepMind
Cyprien de Masson d’Autume：Google DeepMind"
13,2020,发表,一作 = 共同一作；通讯 = 待核验,Syntactic Structure Distillation Pretraining for Bidirectional Encoders,未获取,未获取,未获取,"Textual representation learners trained on large amounts of data have achieved notable success on downstream tasks; intriguingly, they have also performed well on challenging tests of syntactic competence. Hence, it remains an open question whether scalable learners like BERT can become fully proficient in the syntax of natural language by virtue of data scale alone, or whether they still benefit from more explicit syntactic biases. To answer this question, we introduce a knowledge distillation strategy for injecting syntactic biases into BERT pretraining, by distilling the syntactically informative predictions of a hierarchical—albeit harder to scale—syntactic language model. Since BERT models masked words in bidirectional context, we propose to distill the approximate marginal distribution over words in context from the syntactic LM. Our approach reduces relative error by 2–21% on a diverse set of structured prediction tasks, although we obtain mixed results on the GLUE benchmark. Our findings demonstrate the benefits of syntactic biases, even for representation learners that exploit large amounts of data, and contribute to a better understanding of where syntactic biases are helpful in benchmarks of natural language understanding.",分析提取：BERT；句法偏置；知识蒸馏；双向编码；结构化预测,句法分析与结构化表示,"研究问题：大规模BERT预训练是否仍受益于明确的句法归纳偏置？
采用方法：蒸馏层次句法语言模型在双向上下文中的近似边缘分布。",在多种结构化预测任务减少相对错误，但GLUE结果并非一致提升。,"Adhiguna Kuncoro：Google DeepMind；牛津大学
Daniel Fried：加州大学伯克利分校
Dani Yogatama：Google DeepMind
Laura Rimell：Google DeepMind
Chris Dyer：Google DeepMind
Phil Blunsom：Google DeepMind；牛津大学"
14,2020,发表,一作 = 否（按作者顺序）；通讯 = 待核验,Better Document-Level Machine Translation with Bayes’ Rule,未获取,未获取,未获取,"We show that Bayes’ rule provides an effective mechanism for creating document translation models that can be learned from only parallel sentences and monolingual documents a compelling benefit because parallel documents are not always available. In our formulation, the posterior probability of a candidate translation is the product of the unconditional (prior) probability of the candidate output document and the “reverse translation probability” of translating the candidate output back into the source language. Our proposed model uses a powerful autoregressive language model as the prior on target language documents, but it assumes that each sentence is translated independently from the target to the source language. Crucially, at test time, when a source document is observed, the document language model prior induces dependencies between the translations of the source sentences in the posterior. The model’s independence assumption not only enables efficient use of available data, but it additionally admits a practical left-to-right beam-search algorithm for carrying out inference. Experiments show that our model benefits from using cross-sentence context in the language model, and it outperforms existing document translation approaches.",分析提取：文档翻译；贝叶斯法则；语言模型；反向翻译；束搜索,机器翻译,"研究问题：缺少平行文档时，如何利用跨句信息提升文档翻译？
采用方法：用贝叶斯法则组合文档语言模型先验与反向句级翻译概率。",仅需平行句子和单语文档即可引入跨句依赖，并支持从左到右束搜索。,"Lei Yu：Google DeepMind
Laurent Sartran：Google DeepMind
Wojciech Stokowiec：Google DeepMind
Wang Ling：Google DeepMind
Phil Blunsom：Google DeepMind；牛津大学
Chris Dyer：Google DeepMind"
15,2017,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,End-to-End Neural Segmental Models for Speech Recognition,未获取,未获取,未获取,"Segmental models are an alternative to frame-based models for sequence prediction, where hypothesized path weights are based on entire segment scores rather than a single frame at a time. Neural segmental models are segmental models that use neural network-based weight functions. Neural segmental models have achieved competitive results for speech recognition, and their end-to-end training has been explored in several studies. In this work, we review neural segmental models, which can be viewed as consisting of a neural network-based acoustic encoder and a finite-state transducer decoder. We study end-to-end segmental models with different weight functions, including ones based on frame-level neural classifiers and on segmental recurrent neural networks. We study how reducing the search space size impacts performance under different weight functions. We also compare several loss functions for end-to-end training. Finally, we explore training approaches, including multi-stage vs. end-to-end training and multitask training that combines segmental and frame-level losses.",分析提取：语音识别；分段模型；有限状态转导器；声学编码；多任务训练,语音识别与分段建模,"研究问题：神经分段模型在端到端语音识别中如何训练和搜索？
采用方法：比较声学编码器、有限状态解码器、权重函数和多种损失。",系统研究搜索空间、多阶段与端到端训练，以及分段和帧级多任务训练。,"Hao Tang：待核验
Liang Lu：待核验
Kevin Gimpel：待核验
Karen Livescu：待核验
Chris Dyer：待核验
Noah A. Smith：待核验
Steve Renals：待核验"
16,2026,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,ScienceBoard: Evaluating Multimodal Autonomous Agents in Realistic Scientific Workflows,未获取,未获取,未获取,"Large Language Models (LLMs) have extended their impact beyond Natural Language Processing, substantially fostering the development of interdisciplinary research. Recently, various LLM-based agents have been developed to assist scientific discovery progress across multiple aspects and domains. Among these, computer-using agents, capable of interacting with operating systems as humans do, are paving the way to automated scientific problem-solving and addressing routines in researchers' workflows. Recognizing the transformative potential of these agents, we introduce ScienceBoard, which encompasses two complementary contributions: (i) a realistic, multi-domain environment featuring dynamic and visually rich scientific workflows with integrated professional software, where agents can autonomously interact via different interfaces to accelerate complex research tasks and experiments; and (ii) a challenging benchmark of 169 high-quality, rigorously validated real-world tasks curated by humans, spanning scientific-discovery workflows in domains such as biochemistry, astronomy, and geoinformatics. Extensive evaluations of agents with state-of-the-art backbones (e.g., GPT-4o, Claude 3.7, UI-TARS) show that, despite some promising results, they still fall short of reliably assisting scientists in complex workflows, achieving only a 15% overall success rate. In-depth analysis further provides valuable insights for addressing current agent limitations and more effective design principles, paving the way to build more capable agents for scientific discovery. Our code, environment, and benchmark are at https://qiushisun.github.io/ScienceBoard-Home/.",分析提取：科学工作流；计算机智能体；多模态；任务评测；专业软件,工具智能体与任务评测,"研究问题：计算机操作智能体能否完成真实科学工作流？
采用方法：构建多领域科学软件环境与169项人工验证任务。",揭示先进智能体仍难以可靠完成复杂科研流程，并提供可重复评测环境。,"Qiushi Sun：待核验
Zhoumianze Liu：待核验
Chang Ma：待核验
Zichen Ding：待核验
Fangzhi Xu：待核验
Zhangyue Yin：待核验
Haiteng Zhao：待核验
Zhenyu Wu：待核验
Kanzhi Cheng：待核验
Zhaoyang Liu：待核验
Jianing Wang：待核验
Qintong Li：待核验
Xiangru Tang：待核验
Tianbao Xie：待核验
Xiachong Feng：待核验"
17,2026,发表,一作 = 否（按作者顺序）；通讯 = 待核验,SwingArena: Adversarial Programming Arena for Long-Context GitHub Issue Solving,未获取,未获取,未获取,"We present SwingArena, a competitive evaluation framework for Large Language Models (LLMs) that closely mirrors real-world software development workflows. Unlike traditional static benchmarks, SwingArena models the collaborative process of software iteration by pairing LLMs as submitters, who generate patches, and reviewers, who create test cases and verify the patches through continuous integration (CI) pipelines. To support these interactive evaluations, we introduce a retrieval-augmented code generation (RACG) module that efficiently handles long-context challenges by providing syntactically and semantically relevant code snippets from large codebases, supporting multiple programming languages (C++, Python, Rust, and Go). This enables the framework to scale across diverse tasks and contexts while respecting token limitations. Our experiments, using over 400 high-quality real-world GitHub issues selected from a pool of 2,300 issues, show that models like GPT-4o excel at aggressive patch generation, whereas DeepSeek and Gemini prioritize correctness in CI validation. SwingArena presents a scalable and extensible methodology for evaluating LLMs in realistic, CI-driven software development settings. More details are available on our project page: swing-bench.github.io",分析提取：代码智能体；GitHub问题；持续集成；代码检索；竞争评测,工具智能体与任务评测,"研究问题：代码智能体如何在真实协作与持续集成流程中解决仓库问题？
采用方法：让提交者与审查者模型对抗协作，并加入检索增强代码生成。",以真实GitHub问题检验补丁、测试与CI验证，而非仅使用静态测试集。,"Wendong Xu：香港大学
Jing Xiong：香港大学
Chenyang Zhao：加州大学洛杉矶分校；LMSYS Org
Qiujiang Chen：LMSYS Org
Haoran Wang：清华大学
Hui Shen：密歇根大学安娜堡分校
Zhongwei Wan：俄亥俄州立大学
Jianbo Dai：爱丁堡大学
Taiqiang Wu：香港大学
He Xiao：香港大学
Chaofan Tao：香港大学
Z. Morley Mao：密歇根大学安娜堡分校
Ying Sheng：LMSYS Org
Zhijiang Guo：香港科技大学（广州）
Hongxia Yang：香港理工大学
Bei Yu：香港中文大学
Quanquan Gu：加州大学洛杉矶分校
Ngai Wong：香港大学"
18,2026,发表,一作 = 否（按作者顺序）；通讯 = 是,PERSONA: Dynamic and Compositional Inference-Time Personality Control via Activation Vector Algebra,未获取,未获取,未获取,"Current methods for personality control in Large Language Models rely on static prompting or expensive fine-tuning, failing to capture the dynamic and compositional nature of human traits. We introduce PERSONA, a training-free framework that achieves fine-tuning level performance through direct manipulation of personality vectors in activation space. Our key insight is that personality traits appear as extractable, approximately orthogonal directions in the model's representation space that support algebraic operations. The framework operates through three stages: Persona-Base extracts orthogonal trait vectors via contrastive activation analysis; Persona-Algebra enables precise control through vector arithmetic (scalar multiplication for intensity, addition for composition, subtraction for suppression); and Persona-Flow achieves context-aware adaptation by dynamically composing these vectors during inference. On PersonalityBench, our approach achieves a mean score of 9.60, nearly matching the supervised fine-tuning upper bound of 9.61 without any gradient updates. On our proposed Persona-Evolve benchmark for dynamic personality adaptation, we achieve up to 91% win rates across diverse model families. These results provide evidence that aspects of LLM personality are mathematically tractable, opening new directions for interpretable and efficient behavioral control.",分析提取：人格控制；激活方向；向量代数；推理阶段；动态适应,社会智能与角色控制,"研究问题：语言模型的人格如何在推理时动态组合和调节？
采用方法：从激活中提取近似正交的人格方向，使用向量代数控制强度与组合。",无需梯度更新即可进行人格控制，并提出动态人格适应评测。,"Xiachong Feng：哈尔滨工业大学；香港大学
Liang Zhao：哈尔滨工业大学
Weihong Zhong：哈尔滨工业大学
Yichong Huang：哈尔滨工业大学
Yuxuan Gu：哈尔滨工业大学
Xiaocheng Feng：哈尔滨工业大学
Bing Qin：哈尔滨工业大学"
19,2026,发表,一作 = 否（按作者顺序）；通讯 = 待核验,ATTS: Asynchronous Test-Time Scaling via Conformal Prediction,未获取,未获取,未获取,"Large language models (LLMs) benefit from test-time scaling but are often hampered by high inference latency. Speculative decoding is a natural way to accelerate the scaling process; however, scaling along both the parallel and sequential dimensions poses significant challenges, including substantial memory-bound execution and synchronization overhead. We introduce ATTS (Asynchronous Test-Time Scaling), a statistically guaranteed adaptive scaling framework that follows the hypothesis testing process to address these challenges. By revisiting arithmetic intensity, ATTS identifies synchronization as the primary bottleneck. It enables asynchronous inference through online calibration and proposes an ordinal classification algorithm that supports a three-stage rejection sampling pipeline, scaling along both the sequential and parallel axes. Across experiments on the MATH, AMC23, AIME24, and AIME25 datasets and across multiple draft-target model families, we show that ATTS delivers up to 56.7x speedup in test-time scaling and a 4.14x throughput improvement, while maintaining accurate control of the rejection rate, reducing latency and memory overhead, and incurring no accuracy loss. By scaling both in parallel and sequential dimensions, we enable the 1.5B/70B draft/target model combination to achieve the performance of the state-of-the-art reasoning model o3-mini (high) on the AIME dataset. We have released the code at https://github.com/menik1126/asynchronous-test-time-scaling.",分析提取：测试时扩展；保形预测；异步推理；推测解码；拒绝采样,推理部署与参数效率,"研究问题：测试时推理扩展如何降低同步、内存和延迟开销？
采用方法：用保形预测、在线校准与三级拒绝采样实现异步扩展。",同时沿并行与顺序维度扩展，并在给定数学任务上保持准确率。,"Jing Xiong：待核验
Qiujiang Chen：待核验
Fanghua Ye：待核验
Zhongwei Wan：待核验
Chuanyang Zheng：待核验
Chenyang Zhao：待核验
Hui Shen：待核验
Alexander Hanbo Li：待核验
Chaofan Tao：待核验
Haochen Tan：待核验
Haoli Bai：待核验
Lifeng Shang：待核验
Ngai Wong：待核验"
20,2026,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,DiffuCoder: Understanding and Improving Masked Diffusion Models for Code Generation,未获取,未获取,未获取,"Diffusion large language models (dLLMs) are compelling alternatives to autoregressive (AR) models because their denoising models operate over the entire sequence. The global planning and iterative refinement features of dLLMs are particularly useful for code generation. However, current training and inference mechanisms for dLLMs in coding are still under-explored. To demystify the decoding behavior of dLLMs and unlock their potential for coding, we systematically investigate their denoising processes and reinforcement learning (RL) methods. We train a 7B dLLM, \textbf{DiffuCoder}, on 130B tokens of code. Using this model as a testbed, we analyze its decoding behavior, revealing how it differs from that of AR models: (1) dLLMs can decide how causal their generation should be without relying on semi-AR decoding, and (2) increasing the sampling temperature diversifies not only token choices but also their generation order. This diversity creates a rich search space for RL rollouts. For RL training, to reduce the variance of token log-likelihood estimates and maintain training efficiency, we propose \textbf{coupled-GRPO}, a novel sampling scheme that constructs complementary mask noise for completions used in training. In our experiments, coupled-GRPO significantly improves DiffuCoder's performance on code generation benchmarks (+4.4\% on EvalPlus) and reduces reliance on AR bias during decoding. Our work provides deeper insight into the machinery of dLLM generation and offers an effective, diffusion-native RL training framework. https://github.com/apple/ml-diffucoder.",分析提取：扩散模型；代码生成；去噪顺序；强化学习；GRPO,扩散代码生成,"研究问题：掩码扩散代码模型的生成顺序和强化学习应如何设计？
采用方法：分析DiffuCoder的去噪过程，并用互补掩码噪声构建coupled-GRPO。",降低似然估计方差，提升代码生成表现并减少对自回归偏置的依赖。,"Shansan Gong：待核验
Ruixiang Zhang：待核验
Huangjie Zheng：待核验
Jiatao Gu：待核验
Navdeep Jaitly：待核验
Yizhe Zhang：待核验"
21,2026,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,MMSearch-Plus: Benchmarking Provenance-Aware Search for Multimodal Browsing Agents,未获取,未获取,未获取,"Existing multimodal browsing benchmarks often fail to require genuine multimodal reasoning, as many tasks can be solved with text-only heuristics without vision-in-the-loop verification. We introduce MMSearch-Plus, a 311-task benchmark that enforces multimodal understanding by requiring extraction and propagation of fine-grained visual cues through iterative image-text retrieval and cross-validation under retrieval noise. Our curation procedure seeds questions whose answers require extrapolating from spatial cues and temporal traces to out-of-image facts such as events, dates, and venues. Beyond the dataset, we provide a model-agnostic agent framework with standard browsing tools and a set-of-mark (SoM) module, which lets the agent place marks, crop subregions, and launch targeted image/text searches. SoM enables provenance-aware zoom-and-retrieve and improves robustness in multi-step reasoning. We evaluated closed- and open-source MLLMs in this framework. The strongest system achieves an end-to-end accuracy of 36.0%, and integrating SoM produces consistent gains in multiple settings, with improvements up to +3.9 points. From failure analysis, we observe recurring errors in locating relevant webpages and distinguishing between visually similar events. These results underscore the challenges of real-world multimodal search and establish MMSearch-Plus as a rigorous benchmark for advancing agentic MLLMs.",分析提取：多模态搜索；视觉线索；来源追踪；浏览智能体；交叉验证,工具智能体与任务评测,"研究问题：多模态浏览智能体是否真正追踪并核验视觉线索？
采用方法：构建311项搜索任务，并加入标记、裁剪和定向检索模块。",要求多轮图文交叉核验，揭示网页定位与相似事件辨别的困难。,"Xijia Tao：待核验
Yihua Teng：待核验
Xinxing Su：待核验
Xinyu Fu：待核验
Jihao Wu：待核验
Chaofan Tao：待核验
Ziru Liu：待核验
Haoli Bai：待核验
Rui Liu：待核验"
22,2026,发表,一作 = 否（按作者顺序）；通讯 = 是,DreamOn: Diffusion Language Models For Code Infilling Beyond Fixed-size Canvas,未获取,未获取,未获取,"Diffusion Language Models (DLMs) present a compelling alternative to autoregressive models, offering flexible, any-order infilling without specialized prompting design. However, their practical utility is blocked by a critical limitation: the requirement of a fixed-length masked sequence for generation. This constraint severely degrades code infilling performance when the predefined mask size mismatches the ideal completion length. To address this, we propose DreamOn, a novel diffusion framework that enables dynamic, variable-length generation. DreamOn augments the diffusion process with two length control states, allowing the model to autonomously expand or contract the output length based solely on its own predictions. We integrate this mechanism into existing DLMs with minimal modifications to the training objective and no architectural changes. Built upon Dream-Coder-7B and DiffuCoder-7B, DreamOn achieves infilling performance on par with state-of-the-art autoregressive models on HumanEval-Infilling and SantaCoder-FIM and matches oracle performance achieved with ground-truth length. Our work removes a fundamental barrier to the practical deployment of DLMs, significantly advancing their flexibility and applicability for variable-length generation. Our code is available at https://github.com/DreamLM/DreamOn.",分析提取：扩散语言模型；代码补全；可变长度；长度控制；掩码,扩散代码生成,"研究问题：固定掩码长度如何不再限制扩散代码补全？
采用方法：在扩散中增加两种长度控制状态，允许预测驱动的扩展与收缩。",不改网络架构即可生成可变长度补全，在给定基准上接近已知真实长度的表现。,"Zirui Wu：香港大学；北京大学
Lin Zheng：香港大学
Zhihui Xie：香港大学
Jiacheng Ye：香港大学
Jiahui Gao：香港大学
Shansan Gong：香港大学
Yansong Feng：北京大学
Zhenguo Li：华为诺亚方舟实验室
Wei Bi：快手
Guorui Zhou：快手"
